product_name,product_description,product_price,product_category,product_brand,product_image,product_rating,product_reviews,product_color,product_size,product_material,product_occasion,product_prevPrice,product_isFavorite,product_isCart,product_isBadge
viverra diam vitae quam suspendisse potenti nullam porttitor lacus,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",521.69,ring,Jaxworks,https://example.com/image1.jpg,1.1,213,green,extra large,platinum,Casual,2174.410631621,false,false,New
tortor duis mattis egestas metus,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,965.99,necklace,Yotz,https://example.com/image2.jpg,3.1,936,blue,small,silver,Casual,1704.601836587,true,false,Trending
tellus semper interdum mauris ullamcorper,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1165.27,earring,Linklinks,https://example.com/image3.jpg,4.2,308,blue,small,diamond,Modern,1778.098727654,false,false,""
massa,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,1365.82,earring,Jaxnation,https://example.com/image1.jpg,1.9,419,Gold,medium,platinum,Bridal,1509.523328741,true,false,Trending
convallis morbi,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",1332.04,earring,Zoomzone,https://example.com/image1.jpg,4.5,333,blue,medium,silver,Modern,1897.600161617,true,false,""
id justo sit,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",958.12,necklace,Yakijo,https://example.com/image1.jpg,4.5,126,green,large,platinum,Office,2184.144391378,false,false,Trending
pellentesque viverra pede ac diam cras pellentesque volutpat,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",700.15,ring,Gigashots,https://example.com/image1.jpg,1.1,926,Rosegold,medium,diamond,Casual,1845.920022938,true,false,New
in,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",218.33,earring,Twimbo,https://example.com/image1.jpg,4.8,557,Silver,medium,platinum,Modern,1567.947426254,true,false,New
nec sem duis aliquam convallis nunc proin,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",331.42,ring,Demimbu,https://example.com/image1.jpg,3.5,857,pink,small,platinum,Traditional,1591.653888414,true,false,""
in hac habitasse platea dictumst,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",226.28,bracelate,Plambee,https://example.com/image3.jpg,3.7,227,Silver,extra large,platinum,Bridal,1940.855600605,false,false,""
